session_name,model_name,shot_strategy,planning,time_diff_seconds
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,29
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,26
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,32
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,13
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,16
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,23
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,40
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,24
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,23
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,19
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,8
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,20
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,18
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,20
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,25
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,15
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,13
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,25
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,12
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,18
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,18
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,4
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,26
Session-2025-07-09-10-26-26,gemini-2.5-flash,zeroshot,0,23
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,12
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,21
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,10
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,20
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,9
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,11
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,4
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,7
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,13
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,6
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,7
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,5
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,7
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,21
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,7
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,12
Session-2025-07-09-10-35-13,gpt-4.1-mini,zeroshot,0,5
